timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1606876301106,251,Home Page,200,OK,Thread Group 1-5,text,true,,511,123,7,7,http://ltc.la.gemezz.mobi/,249,0,165
1606876301202,155,Home Page,200,OK,Thread Group 1-6,text,true,,511,123,7,7,http://ltc.la.gemezz.mobi/,153,0,69
1606876300858,499,Home Page,200,OK,Thread Group 1-2,text,true,,511,123,7,7,http://ltc.la.gemezz.mobi/,497,0,413
1606876300909,448,Home Page,200,OK,Thread Group 1-3,text,true,,511,123,7,7,http://ltc.la.gemezz.mobi/,446,0,362
1606876300860,497,Home Page,200,OK,Thread Group 1-1,text,true,,511,123,7,7,http://ltc.la.gemezz.mobi/,495,0,419
1606876301004,353,Home Page,200,OK,Thread Group 1-4,text,true,,511,123,7,7,http://ltc.la.gemezz.mobi/,351,0,267
1606876301305,88,Home Page,200,OK,Thread Group 1-7,text,true,,511,123,1,1,http://ltc.la.gemezz.mobi/,88,0,25
1606876301402,97,Home Page,200,OK,Thread Group 1-8,text,true,,511,123,1,1,http://ltc.la.gemezz.mobi/,97,0,30
1606876301503,98,Home Page,200,OK,Thread Group 1-9,text,true,,511,123,1,1,http://ltc.la.gemezz.mobi/,98,0,21
1606876301603,77,Home Page,200,OK,Thread Group 1-10,text,true,,511,123,1,1,http://ltc.la.gemezz.mobi/,77,0,22
