timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1606880527456,170,Home Page,200,OK,Thread Group 1-22,text,true,,511,123,39,39,http://ltc.la.gemezz.mobi/,166,0,79
1606880527440,187,Home Page,200,OK,Thread Group 1-7,text,true,,511,123,39,39,http://ltc.la.gemezz.mobi/,185,0,105
1606880527440,186,Home Page,200,OK,Thread Group 1-12,text,true,,511,123,39,39,http://ltc.la.gemezz.mobi/,184,0,103
1606880527441,192,Home Page,200,OK,Thread Group 1-15,text,true,,511,123,36,36,http://ltc.la.gemezz.mobi/,192,0,103
1606880527446,187,Home Page,200,OK,Thread Group 1-18,text,true,,511,123,36,36,http://ltc.la.gemezz.mobi/,187,0,98
1606880527439,194,Home Page,200,OK,Thread Group 1-17,text,true,,511,123,36,36,http://ltc.la.gemezz.mobi/,194,0,104
1606880527440,194,Home Page,200,OK,Thread Group 1-5,text,true,,511,123,36,36,http://ltc.la.gemezz.mobi/,194,0,106
1606880527440,198,Home Page,200,OK,Thread Group 1-2,text,true,,511,123,33,33,http://ltc.la.gemezz.mobi/,198,0,105
1606880527446,192,Home Page,200,OK,Thread Group 1-4,text,true,,511,123,33,33,http://ltc.la.gemezz.mobi/,192,0,100
1606880527447,192,Home Page,200,OK,Thread Group 1-1,text,true,,511,123,33,33,http://ltc.la.gemezz.mobi/,192,0,98
1606880527445,193,Home Page,200,OK,Thread Group 1-16,text,true,,511,123,32,32,http://ltc.la.gemezz.mobi/,193,0,98
1606880527446,194,Home Page,200,OK,Thread Group 1-8,text,true,,511,123,32,32,http://ltc.la.gemezz.mobi/,194,0,100
1606880527446,193,Home Page,200,OK,Thread Group 1-9,text,true,,511,123,32,32,http://ltc.la.gemezz.mobi/,193,0,97
1606880527485,154,Home Page,200,OK,Thread Group 1-25,text,true,,511,123,32,32,http://ltc.la.gemezz.mobi/,154,0,59
1606880527442,197,Home Page,200,OK,Thread Group 1-20,text,true,,511,123,31,31,http://ltc.la.gemezz.mobi/,197,0,103
1606880527440,201,Home Page,200,OK,Thread Group 1-6,text,true,,511,123,29,29,http://ltc.la.gemezz.mobi/,201,0,105
1606880527445,195,Home Page,200,OK,Thread Group 1-21,text,true,,511,123,26,26,http://ltc.la.gemezz.mobi/,195,0,100
1606880527505,137,Home Page,200,OK,Thread Group 1-27,text,true,,511,123,24,24,http://ltc.la.gemezz.mobi/,137,0,40
1606880527445,197,Home Page,200,OK,Thread Group 1-19,text,true,,511,123,24,24,http://ltc.la.gemezz.mobi/,197,0,99
1606880527476,166,Home Page,200,OK,Thread Group 1-24,text,true,,511,123,24,24,http://ltc.la.gemezz.mobi/,166,0,68
1606880527444,199,Home Page,200,OK,Thread Group 1-14,text,true,,511,123,21,21,http://ltc.la.gemezz.mobi/,199,0,102
1606880527523,127,Home Page,200,OK,Thread Group 1-29,text,true,,511,123,20,20,http://ltc.la.gemezz.mobi/,127,0,35
1606880527494,156,Home Page,200,OK,Thread Group 1-26,text,true,,511,123,20,20,http://ltc.la.gemezz.mobi/,156,0,52
1606880527523,127,Home Page,200,OK,Thread Group 1-28,text,true,,511,123,20,20,http://ltc.la.gemezz.mobi/,127,0,36
1606880527467,184,Home Page,200,OK,Thread Group 1-23,text,true,,511,123,18,18,http://ltc.la.gemezz.mobi/,184,0,79
1606880527442,210,Home Page,200,OK,Thread Group 1-11,text,true,,511,123,16,16,http://ltc.la.gemezz.mobi/,210,0,105
1606880527440,212,Home Page,200,OK,Thread Group 1-10,text,true,,511,123,16,16,http://ltc.la.gemezz.mobi/,212,0,107
1606880527445,208,Home Page,200,OK,Thread Group 1-13,text,true,,511,123,16,16,http://ltc.la.gemezz.mobi/,208,0,113
1606880527442,213,Home Page,200,OK,Thread Group 1-3,text,true,,511,123,16,16,http://ltc.la.gemezz.mobi/,213,0,111
1606880527535,119,Home Page,200,OK,Thread Group 1-30,text,true,,511,123,16,16,http://ltc.la.gemezz.mobi/,119,0,32
1606880527552,121,Home Page,200,OK,Thread Group 1-31,text,true,,511,123,14,14,http://ltc.la.gemezz.mobi/,121,0,55
1606880527554,126,Home Page,200,OK,Thread Group 1-32,text,true,,511,123,13,13,http://ltc.la.gemezz.mobi/,126,0,53
1606880527577,113,Home Page,200,OK,Thread Group 1-34,text,true,,511,123,13,13,http://ltc.la.gemezz.mobi/,113,0,31
1606880527583,107,Home Page,200,OK,Thread Group 1-35,text,true,,511,123,13,13,http://ltc.la.gemezz.mobi/,107,0,25
1606880527572,118,Home Page,200,OK,Thread Group 1-33,text,true,,511,123,13,13,http://ltc.la.gemezz.mobi/,118,0,36
1606880527595,109,Home Page,200,OK,Thread Group 1-36,text,true,,511,123,12,12,http://ltc.la.gemezz.mobi/,109,0,37
1606880527605,100,Home Page,200,OK,Thread Group 1-37,text,true,,511,123,12,12,http://ltc.la.gemezz.mobi/,100,0,27
