timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1606880198304,170,Home Page,200,OK,Thread Group 1-7,text,true,,511,123,13,13,http://ltc.la.gemezz.mobi/,166,0,72
1606880198359,122,Home Page,200,OK,Thread Group 1-9,text,true,,511,123,13,13,http://ltc.la.gemezz.mobi/,122,0,42
1606880198385,102,Home Page,200,OK,Thread Group 1-10,text,true,,511,123,14,14,http://ltc.la.gemezz.mobi/,102,0,50
1606880198304,185,Home Page,200,OK,Thread Group 1-1,text,true,,511,123,14,14,http://ltc.la.gemezz.mobi/,185,0,94
1606880198304,188,Home Page,200,OK,Thread Group 1-4,text,true,,511,123,14,14,http://ltc.la.gemezz.mobi/,188,0,64
1606880198304,189,Home Page,200,OK,Thread Group 1-3,text,true,,511,123,14,14,http://ltc.la.gemezz.mobi/,189,0,92
1606880198305,190,Home Page,200,OK,Thread Group 1-5,text,true,,511,123,14,14,http://ltc.la.gemezz.mobi/,190,0,86
1606880198305,191,Home Page,200,OK,Thread Group 1-6,text,true,,511,123,14,14,http://ltc.la.gemezz.mobi/,191,0,79
1606880198403,93,Home Page,200,OK,Thread Group 1-11,text,true,,511,123,14,14,http://ltc.la.gemezz.mobi/,93,0,37
1606880198330,167,Home Page,200,OK,Thread Group 1-8,text,true,,511,123,14,14,http://ltc.la.gemezz.mobi/,167,0,57
1606880198305,193,Home Page,200,OK,Thread Group 1-2,text,true,,511,123,14,14,http://ltc.la.gemezz.mobi/,193,0,75
1606880198437,89,Home Page,200,OK,Thread Group 1-12,text,true,,511,123,4,4,http://ltc.la.gemezz.mobi/,89,0,22
1606880198458,96,Home Page,200,OK,Thread Group 1-13,text,true,,511,123,5,5,http://ltc.la.gemezz.mobi/,96,0,30
1606880198483,86,Home Page,200,OK,Thread Group 1-14,text,true,,511,123,4,4,http://ltc.la.gemezz.mobi/,86,0,20
1606880198504,158,Home Page,200,OK,Thread Group 1-15,text,true,,511,123,7,7,http://ltc.la.gemezz.mobi/,158,0,27
1606880198530,135,Home Page,200,OK,Thread Group 1-16,text,true,,511,123,6,6,http://ltc.la.gemezz.mobi/,135,0,34
1606880198553,154,Home Page,200,OK,Thread Group 1-17,text,true,,511,123,6,6,http://ltc.la.gemezz.mobi/,154,0,17
1606880198582,143,Home Page,200,OK,Thread Group 1-18,text,true,,511,123,6,6,http://ltc.la.gemezz.mobi/,143,0,83
1606880198604,121,Home Page,200,OK,Thread Group 1-19,text,true,,511,123,6,6,http://ltc.la.gemezz.mobi/,121,0,61
1606880198633,102,Home Page,200,OK,Thread Group 1-20,text,true,,511,123,5,5,http://ltc.la.gemezz.mobi/,102,0,32
1606880198656,89,Home Page,200,OK,Thread Group 1-21,text,true,,511,123,4,4,http://ltc.la.gemezz.mobi/,89,0,17
1606880198680,93,Home Page,200,OK,Thread Group 1-22,text,true,,511,123,4,4,http://ltc.la.gemezz.mobi/,93,0,28
1606880198708,88,Home Page,200,OK,Thread Group 1-23,text,true,,511,123,4,4,http://ltc.la.gemezz.mobi/,88,0,27
1606880198728,101,Home Page,200,OK,Thread Group 1-24,text,true,,511,123,5,5,http://ltc.la.gemezz.mobi/,101,0,26
1606880198753,94,Home Page,200,OK,Thread Group 1-25,text,true,,511,123,4,4,http://ltc.la.gemezz.mobi/,94,0,33
1606880198781,87,Home Page,200,OK,Thread Group 1-26,text,true,,511,123,4,4,http://ltc.la.gemezz.mobi/,87,0,21
1606880198810,82,Home Page,200,OK,Thread Group 1-27,text,true,,511,123,4,4,http://ltc.la.gemezz.mobi/,82,0,22
1606880198830,104,Home Page,200,OK,Thread Group 1-28,text,true,,511,123,5,5,http://ltc.la.gemezz.mobi/,104,0,26
1606880198857,107,Home Page,200,OK,Thread Group 1-29,text,true,,511,123,5,5,http://ltc.la.gemezz.mobi/,107,0,40
1606880198878,89,Home Page,200,OK,Thread Group 1-30,text,true,,511,123,4,4,http://ltc.la.gemezz.mobi/,89,0,27
1606880198909,85,Home Page,200,OK,Thread Group 1-31,text,true,,511,123,4,4,http://ltc.la.gemezz.mobi/,85,0,25
1606880198930,83,Home Page,200,OK,Thread Group 1-32,text,true,,511,123,4,4,http://ltc.la.gemezz.mobi/,83,0,26
1606880198957,94,Home Page,200,OK,Thread Group 1-33,text,true,,511,123,4,4,http://ltc.la.gemezz.mobi/,94,0,37
1606880198982,85,Home Page,200,OK,Thread Group 1-34,text,true,,511,123,4,4,http://ltc.la.gemezz.mobi/,85,0,22
1606880199004,83,Home Page,200,OK,Thread Group 1-35,text,true,,511,123,4,4,http://ltc.la.gemezz.mobi/,83,0,24
1606880199086,111,Home Page,200,OK,Thread Group 1-38,text,true,,511,123,5,5,http://ltc.la.gemezz.mobi/,111,0,32
1606880199059,138,Home Page,200,OK,Thread Group 1-37,text,true,,511,123,5,5,http://ltc.la.gemezz.mobi/,138,0,28
1606880199030,167,Home Page,200,OK,Thread Group 1-36,text,true,,511,123,5,5,http://ltc.la.gemezz.mobi/,167,0,36
1606880199104,158,Home Page,200,OK,Thread Group 1-39,text,true,,511,123,2,2,http://ltc.la.gemezz.mobi/,158,0,92
1606880199129,143,Home Page,200,OK,Thread Group 1-40,text,true,,511,123,1,1,http://ltc.la.gemezz.mobi/,143,0,67
