timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1606880086022,148,Home Page,200,OK,Thread Group 1-3,text,true,,511,123,6,6,http://ltc.la.gemezz.mobi/,145,0,77
1606880086022,148,Home Page,200,OK,Thread Group 1-2,text,true,,511,123,6,6,http://ltc.la.gemezz.mobi/,145,0,77
1606880086040,144,Home Page,200,OK,Thread Group 1-4,text,true,,511,123,4,4,http://ltc.la.gemezz.mobi/,144,0,69
1606880086022,162,Home Page,200,OK,Thread Group 1-1,text,true,,511,123,4,4,http://ltc.la.gemezz.mobi/,162,0,85
1606880086091,94,Home Page,200,OK,Thread Group 1-5,text,true,,511,123,4,4,http://ltc.la.gemezz.mobi/,94,0,29
1606880086139,90,Home Page,200,OK,Thread Group 1-6,text,true,,511,123,2,2,http://ltc.la.gemezz.mobi/,90,0,31
1606880086186,101,Home Page,200,OK,Thread Group 1-7,text,true,,511,123,2,2,http://ltc.la.gemezz.mobi/,101,0,38
1606880086240,88,Home Page,200,OK,Thread Group 1-8,text,true,,511,123,2,2,http://ltc.la.gemezz.mobi/,88,0,28
1606880086291,99,Home Page,200,OK,Thread Group 1-9,text,true,,511,123,2,2,http://ltc.la.gemezz.mobi/,99,0,28
1606880086338,109,Home Page,200,OK,Thread Group 1-10,text,true,,511,123,3,3,http://ltc.la.gemezz.mobi/,109,0,34
1606880086394,110,Home Page,200,OK,Thread Group 1-11,text,true,,511,123,3,3,http://ltc.la.gemezz.mobi/,110,0,35
1606880086440,76,Home Page,200,OK,Thread Group 1-12,text,true,,511,123,2,2,http://ltc.la.gemezz.mobi/,76,0,19
1606880086491,158,Home Page,200,OK,Thread Group 1-13,text,true,,511,123,4,4,http://ltc.la.gemezz.mobi/,158,0,29
1606880086541,175,Home Page,200,OK,Thread Group 1-14,text,true,,511,123,4,4,http://ltc.la.gemezz.mobi/,175,0,111
1606880086587,129,Home Page,200,OK,Thread Group 1-15,text,true,,511,123,4,4,http://ltc.la.gemezz.mobi/,129,0,67
1606880086643,101,Home Page,200,OK,Thread Group 1-16,text,true,,511,123,3,3,http://ltc.la.gemezz.mobi/,101,0,28
1606880086688,117,Home Page,200,OK,Thread Group 1-17,text,true,,511,123,3,3,http://ltc.la.gemezz.mobi/,116,0,31
1606880086740,139,Home Page,200,OK,Thread Group 1-18,text,true,,511,123,3,3,http://ltc.la.gemezz.mobi/,139,0,35
1606880086790,146,Home Page,200,OK,Thread Group 1-19,text,true,,511,123,2,2,http://ltc.la.gemezz.mobi/,146,0,87
1606880086838,149,Home Page,200,OK,Thread Group 1-20,text,true,,511,123,1,1,http://ltc.la.gemezz.mobi/,149,0,69
